,city,state,country,latitude,longitude,population,msa,new_label
148,leersum,utrecht,netherlands,52.01167,5.42778,6385.0,,utrecht MSA
149,maasdijk,south holland,netherlands,51.95917,4.21389,5000.0,,the hague MSA
150,oostzaan,noord holland,netherlands,52.4406,4.8789,9757.0,,zaanstad-alkmaar MSA
151,boskoop,south holland,netherlands,52.075,4.65556,15222.0,,leiden-gouda MSA
152,zuidhorn,groningen,netherlands,53.24667,6.40278,7075.0,,groningen MSA
153,sevenum,limburg,netherlands,51.4125,6.0375,5035.0,,venlo MSA
154,lichtenvoorde,gelderland,netherlands,51.98667,6.56667,19590.0,,doetinchem-winterswijk MSA
155,de bilt,utrecht,netherlands,52.11,5.18056,8945.0,,utrecht MSA
156,lunteren,gelderland,netherlands,52.085,5.62222,12510.0,,ede MSA
157,roermond,limburg,netherlands,51.19417,5.9875,44975.0,,weert-roermond MSA
158,twello,gelderland,netherlands,52.23667,6.10278,13500.0,,apeldoorn MSA
159,heerde,gelderland,netherlands,52.38723,6.04016,8850.0,,zwolle MSA
160,hardinxveld giessendam,zuid holland,netherlands,51.83,4.87,18051.0,,dordrecht MSA
161,purmerend,north holland,netherlands,52.505,4.95972,80117.0,,zaanstad-alkmaar MSA
162,de lier,south holland,netherlands,51.975,4.24861,11823.0,,the hague MSA
163,leiderdorp,south holland,netherlands,52.15833,4.52917,25966.0,,leiden-gouda MSA
164,eijsden,limburg,netherlands,50.78,5.7177,11795.0,,maastricht-heerlen MSA
165,driebergen rijsenburg,utrecht,netherlands,52.05333,5.28056,18553.0,,utrecht MSA
166,berkel en rodenrijs,south holland,netherlands,51.99313,4.47865,20189.0,,the hague MSA
167,geldermalsen,gelderland,netherlands,51.88083,5.28889,25734.0,,nieuwegein MSA
168,dongen,north brabant,netherlands,51.62667,4.93889,25464.0,,breda MSA
169,eelde,drenthe,netherlands,53.13583,6.5625,6450.0,,groningen MSA
170,hardenberg,overijssel,netherlands,52.57583,6.61944,57909.0,,hardenberg-hoogeveen MSA
171,smilde,drenthe,netherlands,52.9486,6.4483,9222.0,,drachten MSA
172,tegelen,limburg,netherlands,51.34417,6.13611,20190.0,,venlo MSA
173,nuenen,north brabant,netherlands,51.47,5.55278,23223.0,,eindhoven MSA
174,geldrop,north brabant,netherlands,51.42167,5.55972,27900.0,,eindhoven MSA
175,barendrecht,south holland,netherlands,51.85667,4.53472,38672.0,,etten leur-barendrecht MSA
176,zwijndrecht,south holland,netherlands,51.8175,4.63333,45696.0,,dordrecht MSA
177,nederweert,limburg,netherlands,51.28583,5.74861,7205.0,,helmond MSA
178,noordwijkerhout,south holland,netherlands,52.26167,4.49306,11875.0,,haarlem MSA
179,hoogerheide,north brabant,netherlands,51.42417,4.325,5810.0,,bergen op zoom MSA
180,ouddorp,south holland,netherlands,51.81167,3.93472,5930.0,,hellevoetsluis MSA
181,burgum,friesland,netherlands,53.19243,5.99009,9720.0,,dokkum MSA
182,dalfsen,overijssel,netherlands,52.51167,6.25694,26575.0,,dalfsen MSA
183,heythuysen,limburg,netherlands,51.25,5.89861,6420.0,,weert-roermond MSA
184,axel,zeeland,netherlands,51.26667,3.90833,8149.0,,goes-terneuzen MSA
185,meijel,limburg,netherlands,51.34417,5.88472,5180.0,,helmond MSA
186,kerkdriel,gelderland,netherlands,51.77167,5.33472,6580.0,,s hertogenbosch-oss MSA
187,odijk,utrecht,netherlands,52.0525,5.23611,5480.0,,utrecht MSA
188,woensdrecht,noord brabant,netherlands,51.43,4.305,21866.0,,bergen op zoom MSA
189,edam,north holland,netherlands,52.51215,5.04805,7380.0,,zaanstad-alkmaar MSA
190,brummen,gelderland,netherlands,52.09,6.15556,21344.0,,apeldoorn MSA
191,rheden,gelderland,netherlands,52.005,6.02917,7400.0,,nijmegen MSA
192,noord scharwoude,north holland,netherlands,52.69833,4.81111,5665.0,,zaanstad-alkmaar MSA
193,baarlo,limburg,netherlands,51.33083,6.09444,5215.0,,venlo MSA
194,nieuw lekkerland,south holland,netherlands,51.88915,4.68653,9535.0,,dordrecht MSA
195,krimpen aan de lek,zuid holland,netherlands,51.8931,4.6275,6114.0,,dordrecht MSA
196,wervershoof,noord holland,netherlands,52.7347,5.1492,8746.0,,medemblik MSA
197,muiden,north holland,netherlands,52.33,5.06944,6223.0,,amsterdam MSA
198,ypenburg,south holland,netherlands,52.04098,4.36981,30000.0,,the hague MSA
199,wierden,overijssel,netherlands,52.35917,6.59306,23244.0,,enschede MSA
200,nederhorst den berg,noord holland,netherlands,52.2567,5.0458,5241.0,,amsterdam MSA
201,gilze,north brabant,netherlands,51.54417,4.94028,6300.0,,breda MSA
202,druten,gelderland,netherlands,51.88833,5.60556,6270.0,,ede MSA
203,honselersdijk,south holland,netherlands,52.00665,4.22441,7366.0,,the hague MSA
204,dieren,gelderland,netherlands,52.0512,6.103,14842.0,,apeldoorn MSA
205,heeswijk dinther,north brabant,netherlands,51.65083,5.475,7985.0,,s hertogenbosch-oss MSA
206,gramsbergen,overijssel,netherlands,52.6103,6.6728,6500.0,,hardenberg-hoogeveen MSA
207,hoek van holland,south holland,netherlands,51.9775,4.13333,9400.0,,the hague MSA
208,tholen,zeeland,netherlands,51.53167,4.22083,7475.0,,bergen op zoom MSA
209,bolsward,friesland,netherlands,53.06555,5.53176,9160.0,,heerenveen-sneek MSA
210,andijk,noord holland,netherlands,52.75,5.22,6423.0,,medemblik MSA
211,eibergen,gelderland,netherlands,52.1,6.64861,16493.0,,boekelo MSA
212,loon op zand,north brabant,netherlands,51.6275,5.075,23000.0,,tilburg MSA
213,harmelen,utrecht,netherlands,52.0894,4.9608,7884.0,,leiden-gouda MSA
214,nistelrode,north brabant,netherlands,51.70417,5.5625,6090.0,,s hertogenbosch-oss MSA
215,werkendam,north brabant,netherlands,51.81,4.89444,11204.0,,dordrecht MSA
216,oudewater,utrecht,netherlands,52.025,4.86806,9836.0,,leiden-gouda MSA
217,sleeuwijk,north brabant,netherlands,51.81583,4.95278,5859.0,,dordrecht MSA
218,swalmen,limburg,netherlands,51.2333,6.0333,8690.0,,weert-roermond MSA
219,klazienaveen,drenthe,netherlands,52.72417,6.99028,11919.0,,emmen MSA
220,noordwijk,zuid holland,netherlands,52.2333,4.4333,42859.0,,haarlem MSA
221,opmeer,north holland,netherlands,52.70667,4.94444,11183.0,,zaanstad-alkmaar MSA
222,dinxperlo,gelderland,netherlands,51.8667,6.4833,8565.0,,doetinchem-winterswijk MSA
223,abcoude,utrecht,netherlands,52.2725,4.96944,6920.0,,amsterdam MSA
224,warnsveld,gelderland,netherlands,52.1375,6.23056,9200.0,,apeldoorn MSA
225,klundert,north brabant,netherlands,51.665,4.53472,5405.0,,etten leur-barendrecht MSA
226,ouderkerk aan de amstel,north holland,netherlands,52.29504,4.90746,7955.0,,amsterdam MSA
227,meerssen,limburg,netherlands,50.8875,5.75,5650.0,,maastricht-heerlen MSA
228,maasbree,limburg,netherlands,51.3575,6.04861,5045.0,,venlo MSA
229,reusel,north brabant,netherlands,51.3625,5.16528,7055.0,,eindhoven MSA
230,bennekom,gelderland,netherlands,51.99833,5.67639,14810.0,,ede MSA
231,vriezenveen,overijssel,netherlands,52.40833,6.62222,12310.0,,enschede MSA
232,limmen,north holland,netherlands,52.56917,4.69444,7300.0,,zaanstad-alkmaar MSA
233,ijsselstein,utrecht,netherlands,52.02,5.04306,33886.0,,nieuwegein MSA
234,moergestel,noord brabant,netherlands,51.55,5.1833,5835.0,,tilburg MSA
235,heemskerk,north holland,netherlands,52.51108,4.67165,36170.0,,zaanstad-alkmaar MSA
236,ulft,gelderland,netherlands,51.89,6.37778,10440.0,,doetinchem-winterswijk MSA
237,leiden,south holland,netherlands,52.15833,4.49306,119713.0,,leiden-gouda MSA
238,bergen op zoom,north brabant,netherlands,51.495,4.29167,66256.0,,bergen op zoom MSA
239,bleiswijk,south holland,netherlands,52.01083,4.53194,10549.0,,the hague MSA
240,oud beijerland,south holland,netherlands,51.82417,4.4125,23569.0,,the hague MSA
241,hoogeveen,drenthe,netherlands,52.7225,6.47639,38754.0,,hardenberg-hoogeveen MSA
242,valkenswaard,north brabant,netherlands,51.35083,5.45972,31071.0,,eindhoven MSA
243,kampen,overijssel,netherlands,52.555,5.91111,48980.0,,kampen-emmeloord MSA
244,etten leur,noord brabant,netherlands,51.5706,4.6356,43774.0,,etten leur-barendrecht MSA
245,gorinchem,south holland,netherlands,51.83652,4.97243,34736.0,,dordrecht MSA
246,hoorn,north holland,netherlands,52.6425,5.05972,68852.0,,zaanstad-alkmaar MSA
247,leidschendam,zuid holland,netherlands,52.0833,4.4,39567.0,,the hague MSA
248,gouda,south holland,netherlands,52.01667,4.70833,71952.0,,leiden-gouda MSA
249,elburg,gelderland,netherlands,52.4475,5.84306,21844.0,,zwolle MSA
250,coevorden,drenthe,netherlands,52.66103,6.74046,14600.0,,emmen MSA
251,best,north brabant,netherlands,51.5075,5.39028,29074.0,,uden-boxtel-best MSA
252,woerden,utrecht,netherlands,52.085,4.88333,48431.0,,leiden-gouda MSA
253,marum,groningen,netherlands,53.14417,6.2625,5170.0,,groningen MSA
254,assen,drenthe,netherlands,52.99667,6.5625,62237.0,,assen MSA
255,groenlo,gelderland,netherlands,52.05,6.6167,9119.0,,boekelo MSA
256,haarlem,noord holland,netherlands,52.3803,4.6406,159134.0,,haarlem MSA
257,sassenheim,south holland,netherlands,52.225,4.52222,15510.0,,haarlem MSA
258,nieuwleusen,overijssel,netherlands,52.5833,6.2833,9190.0,,dalfsen MSA
259,drachten,friesland,netherlands,53.11254,6.0989,44537.0,,drachten MSA
260,vianen,utrecht,netherlands,51.9925,5.09167,19931.0,,nieuwegein MSA
261,naarden,north holland,netherlands,52.29583,5.1625,17115.0,,amsterdam MSA
262,biddinghuizen,flevoland,netherlands,52.455,5.69306,5010.0,,lelystad MSA
263,oirschot,north brabant,netherlands,51.505,5.31389,10393.0,,uden-boxtel-best MSA
264,beverwijk,north holland,netherlands,52.48333,4.65694,37585.0,,haarlem MSA
265,oosterhout,north brabant,netherlands,51.645,4.85972,53107.0,,breda MSA
266,katwijk,zuid holland,netherlands,52.2008,4.4153,65302.0,,haarlem MSA
267,heerhugowaard,north holland,netherlands,52.67144,4.84862,47580.0,,zaanstad-alkmaar MSA
268,vlijmen,noord brabant,netherlands,51.6953,5.2119,15899.0,,drunen MSA
269,zaanstad,north holland,netherlands,52.45313,4.81356,140085.0,,zaanstad-alkmaar MSA
270,bergschenhoek,south holland,netherlands,51.99,4.49861,16579.0,,the hague MSA
271,didam,gelderland,netherlands,51.9333,6.1333,16603.0,,nijmegen MSA
272,schijndel,north brabant,netherlands,51.6225,5.43194,23239.0,,s hertogenbosch-oss MSA
273,schagen,north holland,netherlands,52.7875,4.79861,5910.0,,den helder MSA
274,rijen,north brabant,netherlands,51.59083,4.91944,16230.0,,breda MSA
275,culemborg,gelderland,netherlands,51.955,5.22778,26826.0,,utrecht MSA
276,roden,drenthe,netherlands,53.1375,6.42083,7030.0,,groningen MSA
277,waalwijk,north brabant,netherlands,51.6825,5.07083,45610.0,,tilburg MSA
278,zoetermeer,south holland,netherlands,52.0575,4.49306,115845.0,,leiden-gouda MSA
279,oosterwolde,friesland,netherlands,52.99164,6.29096,9245.0,,drachten MSA
280,schoonhoven,south holland,netherlands,51.9475,4.84861,12352.0,,dordrecht MSA
281,middelburg,zeeland,netherlands,51.5,3.61389,46485.0,,middelburg MSA
282,bladel,north brabant,netherlands,51.36833,5.22083,9785.0,,eindhoven MSA
283,heesch,north brabant,netherlands,51.73362,5.52672,12810.0,,s hertogenbosch-oss MSA
284,amersfoort,utrecht,netherlands,52.155,5.3875,139914.0,,utrecht MSA
285,oss,north brabant,netherlands,51.765,5.51806,76430.0,,s hertogenbosch-oss MSA
286,wageningen,gelderland,netherlands,51.97,5.66667,35433.0,,ede MSA
287,breda,north brabant,netherlands,51.58656,4.77596,167673.0,,breda MSA
288,the hague,south holland,netherlands,52.07667,4.29861,474292.0,,the hague MSA
289,alkmaar,north holland,netherlands,52.63167,4.74861,94853.0,,zaanstad-alkmaar MSA
290,geleen,limburg,netherlands,50.97417,5.82917,32790.0,,maastricht-heerlen MSA
291,capelle aan den ijssel,south holland,netherlands,51.92917,4.57778,65255.0,,dordrecht MSA
292,hilversum,north holland,netherlands,52.22333,5.17639,83640.0,,amsterdam MSA
293,hoevelaken,gelderland,netherlands,52.175,5.4583,8461.0,,utrecht MSA
294,zaandam,north holland,netherlands,52.43854,4.82643,71708.0,,zaanstad-alkmaar MSA
295,krimpen aan den ijssel,south holland,netherlands,51.91667,4.60278,29017.0,,dordrecht MSA
296,haaksbergen,overijssel,netherlands,52.15667,6.73889,24137.0,,boekelo MSA
297,venlo,limburg,netherlands,51.37,6.16806,92403.0,,venlo MSA
298,s hertogenbosch,north brabant,netherlands,51.69917,5.30417,134520.0,,s hertogenbosch-oss MSA
299,baarn,utrecht,netherlands,52.21167,5.2875,24584.0,,utrecht MSA
300,ijsselmuiden,overijssel,netherlands,52.5647,5.9275,14926.0,,kampen-emmeloord MSA
301,middelharnis,south holland,netherlands,51.7575,4.16528,17554.0,,hellevoetsluis MSA
302,son en breugel,noord brabant,netherlands,51.5158,5.5022,16904.0,,uden-boxtel-best MSA
303,tilburg,north brabant,netherlands,51.55551,5.0913,199613.0,,tilburg MSA
304,eindhoven,north brabant,netherlands,51.44083,5.47778,209620.0,,eindhoven MSA
305,maastricht,limburg,netherlands,50.84833,5.68889,122378.0,,maastricht-heerlen MSA
306,groningen,groningen,netherlands,53.21917,6.56667,181194.0,,groningen MSA
307,almere,flevoland,netherlands,52.3758,5.2256,207904.0,,amsterdam MSA
308,sneek,friesland,netherlands,53.03297,5.6589,32811.0,,heerenveen-sneek MSA
309,diemen,north holland,netherlands,52.33964,4.96256,24361.0,,amsterdam MSA
310,arnhem,gelderland,netherlands,51.98,5.91111,141674.0,,nijmegen MSA
311,utrecht,utrecht,netherlands,52.09083,5.12222,290529.0,,utrecht MSA
312,uden,north brabant,netherlands,51.66083,5.61944,34601.0,,uden-boxtel-best MSA
313,doetinchem,gelderland,netherlands,51.965,6.28889,49906.0,,doetinchem-winterswijk MSA
314,apeldoorn,gelderland,netherlands,52.21,5.96944,136670.0,,apeldoorn MSA
315,dordrecht,south holland,netherlands,51.81,4.67361,119260.0,,dordrecht MSA
316,amstelveen,north holland,netherlands,52.30083,4.86389,79639.0,,amsterdam MSA
317,nieuwegein,utrecht,netherlands,52.02917,5.08056,61489.0,,nieuwegein MSA
318,weert,limburg,netherlands,51.25167,5.70694,48662.0,,weert-roermond MSA
319,alphen aan den rijn,south holland,netherlands,52.12917,4.65546,70251.0,,leiden-gouda MSA
320,hengelo,overijssel,netherlands,52.26583,6.79306,80809.0,,enschede MSA
321,ede,gelderland,netherlands,52.03333,5.65833,67670.0,,ede MSA
322,emmeloord,flevoland,netherlands,52.71083,5.74861,46409.0,,kampen-emmeloord MSA
323,deventer,overijssel,netherlands,52.255,6.16389,97331.0,,apeldoorn MSA
324,haarlem,north holland,netherlands,52.38084,4.63683,147590.0,,haarlem MSA
325,boxtel,north brabant,netherlands,51.59083,5.32917,29511.0,,uden-boxtel-best MSA
326,veenendaal,utrecht,netherlands,52.02863,5.55891,61271.0,,ede MSA
